file,player_name,platform,retrieved_date,kd_rate,kills,matches_played,score,top_10,top_12s,top_25s,top_3s,top_5s,top_6s,win_pct,wins
UnsavedReplay-2019.01.17-19.39.29.replay,Dom only,pc,2019-01-18 23:11:20,0.5,4537,9247,1253813,282,136,756,373,52,863,1,95
UnsavedReplay-2019.01.17-19.39.29.replay,Dom only,psn,2019-01-18 23:11:23,0.15,15,103,10289,2,0,2,0,0,4,0,0
UnsavedReplay-2019.01.17-19.39.29.replay,KILLERFINN4000,pc,2019-01-18 23:11:29,1.48,3429,2352,346016,196,80,487,33,30,66,2,40
UnsavedReplay-2019.01.17-19.39.29.replay,KILLERFINN4000,psn,2019-01-18 23:11:31,1.78,3473,2055,378272,94,64,228,183,30,308,5,107
UnsavedReplay-2019.01.17-19.39.29.replay,MojangCam06,pc,2019-01-18 23:11:37,0.29,22,77,8871,6,2,11,3,1,3,1,1
UnsavedReplay-2019.01.17-19.39.29.replay,MojangCam06,psn,2019-01-18 23:11:40,1.17,4470,3953,653564,134,449,281,135,209,228,3,133
UnsavedReplay-2019.01.17-19.39.29.replay,UnseenBladeOCE,pc,2019-01-18 23:11:45,2.14,2614,1311,207834,69,27,161,133,14,196,7,92
UnsavedReplay-2019.01.17-19.39.29.replay,UnseenBladeOCE,psn,2019-01-18 23:11:48,0.75,6,8,273,0,0,0,0,0,1,0,0
UnsavedReplay-2019.01.17-19.39.29.replay,SlinKyZ.YT,pc,2019-01-18 23:11:54,1.08,6663,6265,789350,103,477,392,66,194,152,1,77
UnsavedReplay-2019.01.17-19.39.29.replay,TTVYaMum,pc,2019-01-18 23:12:02,3.4,14120,4718,1249866,279,454,599,611,269,844,12,562
UnsavedReplay-2019.01.17-19.39.29.replay,GoombauBTW,pc,2019-01-18 23:12:10,0.9,1712,1971,311586,46,41,190,100,23,164,4,75
UnsavedReplay-2019.01.17-19.39.29.replay,PastaEnthusiast,pc,2019-01-18 23:12:18,0.09,2,23,2213,1,1,4,0,1,0,0,0
UnsavedReplay-2019.01.17-19.39.29.replay,noskin oofer,pc,2019-01-18 23:12:27,0.36,458,1282,149626,10,19,36,28,8,92,1,8
UnsavedReplay-2019.01.17-19.39.29.replay,SmugEvening4650,pc,2019-01-18 23:12:35,0.1,169,1695,176663,61,51,259,17,22,44,0,0
UnsavedReplay-2019.01.17-19.39.29.replay,iG Ajex,pc,2019-01-18 23:12:43,1.07,456,435,58629,9,25,20,16,10,24,2,7
UnsavedReplay-2019.01.17-19.39.29.replay,iG Ajex,xbl,2019-01-18 23:12:48,0.67,2387,3616,552149,33,210,103,174,76,334,2,69
UnsavedReplay-2019.01.17-19.39.29.replay,Caesar45au,pc,2019-01-18 23:12:51,0.78,2345,3052,447970,47,221,129,169,86,285,2,59
UnsavedReplay-2019.01.17-19.39.29.replay,Caesar45au,psn,2019-01-18 23:12:54,0.75,3,4,537,1,0,1,0,0,0,0,0
UnsavedReplay-2019.01.17-19.39.29.replay,Insomnia Rival,pc,2019-01-18 23:12:59,2.14,10572,5281,1008436,293,716,544,194,378,330,6,338
UnsavedReplay-2019.01.17-19.39.29.replay,Insomnia Rival,psn,2019-01-18 23:13:02,1.18,4682,4085,648703,237,257,503,127,116,220,3,119
UnsavedReplay-2019.01.17-19.39.29.replay,ThyQuantum,pc,2019-01-18 23:13:08,1.33,2797,2187,406583,93,313,231,95,152,153,4,88
UnsavedReplay-2019.01.17-19.39.29.replay,mute9oce,pc,2019-01-18 23:13:16,1.55,2437,1710,412367,57,181,135,171,93,274,8,140
UnsavedReplay-2019.01.17-19.39.29.replay,Broccy05,pc,2019-01-18 23:13:24,0.02,9,525,43966,16,22,76,0,3,2,0,0
UnsavedReplay-2019.01.17-19.39.29.replay,elementsnz,pc,2019-01-18 23:13:32,2.13,6556,3306,706880,262,646,495,80,382,111,7,231
UnsavedReplay-2019.01.17-19.39.29.replay,elementsnz,psn,2019-01-18 23:13:35,1.0,2,2,103,0,0,0,0,0,0,0,0
UnsavedReplay-2019.01.17-19.39.29.replay,PredatorAL,pc,2019-01-18 23:13:40,1.05,300,292,40238,20,17,51,4,4,6,2,5
UnsavedReplay-2019.01.17-19.39.29.replay,PredatorAL,xbl,2019-01-18 23:13:45,2.28,5611,2577,510790,145,209,268,132,104,248,5,117
UnsavedReplay-2019.01.17-19.39.29.replay,Rynowar,pc,2019-01-18 23:13:48,1.74,2756,1660,345069,137,168,292,102,79,157,5,79
UnsavedReplay-2019.01.17-19.39.29.replay,Joshhewi7,pc,2019-01-18 23:14:04,1.52,41,27,3762,2,2,5,0,0,0,0,0
UnsavedReplay-2019.01.17-19.39.29.replay,Joshhewi7,psn,2019-01-18 23:14:07,1.8,8923,5129,924675,288,572,577,109,258,211,3,173
