file,eliminated,eliminator,gun_type,knocked,time,seconds,weapon
UnsavedReplay-2019.01.18-19.46.29.replay,dear_death823,Coolrobloxiankid,4,0,1970-01-01 10:01:05.057,65.057,AR
UnsavedReplay-2019.01.18-19.46.29.replay,nounours-2007,brovh123,8,0,1970-01-01 10:01:08.262,68.262,GRENADE
UnsavedReplay-2019.01.18-19.46.29.replay,ickzi,3xplicit-ヅ,3,0,1970-01-01 10:01:10.338,70.338,SHOTGUN
UnsavedReplay-2019.01.18-19.46.29.replay,lethal_bacon483,H8 RaHoWa,5,0,1970-01-01 10:01:11.245,71.245,SMG
UnsavedReplay-2019.01.18-19.46.29.replay,3xplicit-ヅ,Ast Blank,10,0,1970-01-01 10:01:14.853,74.853,GRENADELAUNCHER
UnsavedReplay-2019.01.18-19.46.29.replay,Anima.,LicoMrPerfect,8,0,1970-01-01 10:01:15.778,75.778,GRENADE
UnsavedReplay-2019.01.18-19.46.29.replay,Veśtra Jay,Alpha Kayos,3,0,1970-01-01 10:01:18.153,78.153,SHOTGUN
UnsavedReplay-2019.01.18-19.46.29.replay,Xt1nc7xx,Coolrobloxiankid,4,0,1970-01-01 10:01:22.622,82.622,AR
UnsavedReplay-2019.01.18-19.46.29.replay,HUNER-T,Laz_R_Us,10,0,1970-01-01 10:01:23.759,83.759,GRENADELAUNCHER
UnsavedReplay-2019.01.18-19.46.29.replay,Coolrobloxiankid,Starkiツ,3,0,1970-01-01 10:01:28.216,88.216,SHOTGUN
UnsavedReplay-2019.01.18-19.46.29.replay,memezgalore,Alpha Kayos,3,0,1970-01-01 10:01:29.338,89.338,SHOTGUN
UnsavedReplay-2019.01.18-19.46.29.replay,ProXxGoat69xX,Dilb0t,4,0,1970-01-01 10:01:30.378,90.378,AR
UnsavedReplay-2019.01.18-19.46.29.replay,Gio7873,Ast Blank,3,0,1970-01-01 10:01:32.201,92.201,SHOTGUN
UnsavedReplay-2019.01.18-19.46.29.replay,Italianaussie,Memento Tenebris,5,0,1970-01-01 10:01:35.097,95.097,SMG
UnsavedReplay-2019.01.18-19.46.29.replay,King_morey,xABMExㅤ,2,0,1970-01-01 10:01:37.997,97.997,PISTOL
UnsavedReplay-2019.01.18-19.46.29.replay,Smashmalian,ConJor42,4,0,1970-01-01 10:01:38.462,98.462,AR
UnsavedReplay-2019.01.18-19.46.29.replay,TheRecycleGuy108,P4NDASE,13,0,1970-01-01 10:01:42.300,102.3,BOW
UnsavedReplay-2019.01.18-19.46.29.replay,P4NDASE,TheRecycleGuy108,1,0,1970-01-01 10:01:42.801,102.801,FALL
UnsavedReplay-2019.01.18-19.46.29.replay,miniManMax124,speky77,8,0,1970-01-01 10:01:46.169,106.169,GRENADE
UnsavedReplay-2019.01.18-19.46.29.replay,r1ckytricky123,Agent_Alpha,3,0,1970-01-01 10:01:48.410,108.41,SHOTGUN
