file,eliminated,eliminator,gun_type,knocked,time,seconds,weapon
UnsavedReplay-2019.01.18-20.43.50.replay,PMarto64,xArea 51,3,0,1970-01-01 10:00:53.908,53.908,SHOTGUN
UnsavedReplay-2019.01.18-20.43.50.replay,Exo Bot Dynaӎoツ,Joshie_yyeon,6,0,1970-01-01 10:00:56.376,56.376,SNIPER
UnsavedReplay-2019.01.18-20.43.50.replay,Mr panda89,hawk24631,8,0,1970-01-01 10:00:58.547,58.547,GRENADE
UnsavedReplay-2019.01.18-20.43.50.replay,hawk24631,boof_0011,2,0,1970-01-01 10:00:59.196,59.196,PISTOL
UnsavedReplay-2019.01.18-20.43.50.replay,TWITCH-alezplays,Utiliser_408,5,0,1970-01-01 10:01:01.251,61.251,SMG
UnsavedReplay-2019.01.18-20.43.50.replay,TearyData,Jedifett323,4,0,1970-01-01 10:01:04.096,64.096,AR
UnsavedReplay-2019.01.18-20.43.50.replay,KILLER_BOY101,YUMM Vortex,3,0,1970-01-01 10:01:06.488,66.488,SHOTGUN
UnsavedReplay-2019.01.18-20.43.50.replay,Twitch Keepatit_,MySnipeIsRipe.YT,5,0,1970-01-01 10:01:20.293,80.293,SMG
UnsavedReplay-2019.01.18-20.43.50.replay,TinyTheTurtle17,slappie _TSM.,5,0,1970-01-01 10:01:26.966,86.966,SMG
UnsavedReplay-2019.01.18-20.43.50.replay,Bankas07,Bankas07,1,0,1970-01-01 10:01:30.498,90.498,FALL
UnsavedReplay-2019.01.18-20.43.50.replay,SnappyFanatic,Lord Spaz,13,0,1970-01-01 10:01:34.024,94.024,BOW
UnsavedReplay-2019.01.18-20.43.50.replay,Lord Spaz,SnappyFanatic,5,0,1970-01-01 10:01:34.654,94.654,SMG
UnsavedReplay-2019.01.18-20.43.50.replay,Game_Over-0123,REELPOOPIDYSCOOP,3,0,1970-01-01 10:01:34.771,94.771,SHOTGUN
UnsavedReplay-2019.01.18-20.43.50.replay,ExeptionalGaming,JibkoYT,4,0,1970-01-01 10:01:34.911,94.911,AR
UnsavedReplay-2019.01.18-20.43.50.replay,SqUaDrApHoNiC,Game_Over-0123,3,0,1970-01-01 10:01:35.044,95.044,SHOTGUN
UnsavedReplay-2019.01.18-20.43.50.replay,Si6ne NZ,Watts04,4,0,1970-01-01 10:01:36.238,96.238,AR
UnsavedReplay-2019.01.18-20.43.50.replay,Deryve,sslq,3,0,1970-01-01 10:01:37.776,97.776,SHOTGUN
UnsavedReplay-2019.01.18-20.43.50.replay,CosmoticSpiral,broadacreh,3,0,1970-01-01 10:01:43.273,103.273,SHOTGUN
