file,player_name,platform,retrieved_date,kd_rate,kills,matches_played,score,top_10,top_12s,top_25s,top_3s,top_5s,top_6s,win_pct,wins
UnsavedReplay-2019.01.18-20.43.50.replay,Dat_guy_apollo,pc,2019-01-19 00:56:18,0.12,76,613,75049,25,15,53,19,3,48,0,2
UnsavedReplay-2019.01.18-20.43.50.replay,KILLER_BOY101,pc,2019-01-19 00:56:28,0.16,231,1481,114106,29,33,93,5,8,25,0,0
UnsavedReplay-2019.01.18-20.43.50.replay,ㅤJaxonㅤ,pc,2019-01-19 00:56:37,0.69,203,297,36101,8,27,23,7,10,17,1,2
UnsavedReplay-2019.01.18-20.43.50.replay,ㅤJaxonㅤ,psn,2019-01-19 00:56:40,1.34,1832,1425,240113,42,156,104,56,74,103,4,54
UnsavedReplay-2019.01.18-20.43.50.replay,ㅤJaxonㅤ,xbl,2019-01-19 00:56:42,0.78,2353,3033,367129,35,215,114,42,81,105,1,34
UnsavedReplay-2019.01.18-20.43.50.replay,Madpetty2,pc,2019-01-19 00:56:45,0.17,12,72,6263,2,3,7,0,2,1,0,0
UnsavedReplay-2019.01.18-20.43.50.replay,Madpetty2,xbl,2019-01-19 00:56:51,0.44,1467,3342,365948,104,211,343,19,56,52,0,7
UnsavedReplay-2019.01.18-20.43.50.replay,pp EmJay,pc,2019-01-19 00:57:03,0.47,4039,8573,1069480,490,348,1456,101,122,246,1,50
UnsavedReplay-2019.01.18-20.43.50.replay,Venzor.exe,pc,2019-01-19 00:57:12,1.0,2697,2779,506863,77,274,172,178,103,360,3,80
UnsavedReplay-2019.01.18-20.43.50.replay,Venzor.exe,psn,2019-01-19 00:57:15,0.37,301,820,117647,11,18,44,29,7,70,2,13
UnsavedReplay-2019.01.18-20.43.50.replay,вαzα,pc,2019-01-19 00:57:21,1.55,1315,918,163729,35,66,70,84,33,114,8,70
UnsavedReplay-2019.01.18-20.43.50.replay,вαzα,xbl,2019-01-19 00:57:27,2.38,10038,4548,912954,665,154,1066,141,92,236,7,329
UnsavedReplay-2019.01.18-20.43.50.replay,Mr panda89,pc,2019-01-19 00:57:30,0.69,2640,3835,428131,79,197,274,24,52,72,0,7
UnsavedReplay-2019.01.18-20.43.50.replay,Mr panda89,psn,2019-01-19 00:57:33,0.22,6,27,2959,0,6,0,0,0,0,0,0
UnsavedReplay-2019.01.18-20.43.50.replay,Ali-AqaGamer,pc,2019-01-19 00:57:38,0.2,206,1036,89373,8,35,35,11,12,33,0,2
