file,eliminated,eliminator,gun_type,knocked,time,seconds,weapon
UnsavedReplay-2019.01.18-21.32.41.replay,Pro_Jay54,oc jacc,8,0,1970-01-01 10:00:51.075,51.075,GRENADE
UnsavedReplay-2019.01.18-21.32.41.replay,ThaTLogaNKiD,oc jacc,8,0,1970-01-01 10:00:51.546,51.546,GRENADE
UnsavedReplay-2019.01.18-21.32.41.replay,360_Massakre,Faгcry,3,0,1970-01-01 10:01:00.813,60.813,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,xCrysisRevenqe,TTV SpinEffects,6,0,1970-01-01 10:01:01.289,61.289,SNIPER
UnsavedReplay-2019.01.18-21.32.41.replay,FNBR.ttvbtwYT,H0td0g01,3,0,1970-01-01 10:01:03.075,63.075,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,abdiGP,jneutron27,4,0,1970-01-01 10:01:04.910,64.91,AR
UnsavedReplay-2019.01.18-21.32.41.replay,TTV SpinEffects,YellowSnow.,13,0,1970-01-01 10:01:13.049,73.049,BOW
UnsavedReplay-2019.01.18-21.32.41.replay,ItzPetone,U Knee Grow,4,0,1970-01-01 10:01:14.580,74.58,AR
UnsavedReplay-2019.01.18-21.32.41.replay,almotaz_ic,RNG Ciller06 TTV,2,0,1970-01-01 10:01:14.987,74.987,PISTOL
UnsavedReplay-2019.01.18-21.32.41.replay,YellowSnow.,YellowSnow.,13,0,1970-01-01 10:01:16.835,76.835,BOW
UnsavedReplay-2019.01.18-21.32.41.replay,twitch.p4perzz,YellowSnow.,13,0,1970-01-01 10:01:17.904,77.904,BOW
UnsavedReplay-2019.01.18-21.32.41.replay,rxAstroz,R0ya1_L0yalz,3,0,1970-01-01 10:01:21.431,81.431,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,Flcnet,Fresh.Ginger,5,0,1970-01-01 10:01:24.093,84.093,SMG
UnsavedReplay-2019.01.18-21.32.41.replay,GameTan,GameTan,1,0,1970-01-01 10:01:27.187,87.187,FALL
UnsavedReplay-2019.01.18-21.32.41.replay,Barrel76,Rex_NZ,4,0,1970-01-01 10:01:30.832,90.832,AR
UnsavedReplay-2019.01.18-21.32.41.replay,prokiller123421,LoGuealix,3,0,1970-01-01 10:01:32.750,92.75,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,FerGod77,H0td0g01,3,0,1970-01-01 10:01:37.333,97.333,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,DankDoritoMeems2,YounggSaba,4,0,1970-01-01 10:01:38.224,98.224,AR
UnsavedReplay-2019.01.18-21.32.41.replay,JordanHyper,JordanHyper,1,0,1970-01-01 10:01:51.021,111.021,FALL
UnsavedReplay-2019.01.18-21.32.41.replay,LoGuealix,Mango_236,4,0,1970-01-01 10:01:51.666,111.666,AR
UnsavedReplay-2019.01.18-21.32.41.replay,sw_tchblade,Bit-Light,3,0,1970-01-01 10:01:58.818,118.818,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,yooshi_Tv,TTV_SNAPPZ,3,0,1970-01-01 10:02:10.833,130.833,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,TTV_SNAPPZ,xd R3cruit,3,0,1970-01-01 10:02:13.208,133.208,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,GRiM Sloba,R0ya1_L0yalz,3,0,1970-01-01 10:02:18.528,138.528,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,Cinematic_HypeN,PancakeWithAbbs,10,0,1970-01-01 10:02:19.022,139.022,GRENADELAUNCHER
UnsavedReplay-2019.01.18-21.32.41.replay,PancakeWithAbbs,Healing Seraph,3,0,1970-01-01 10:02:28.960,148.96,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,Emma.w.wolf,Mr-V-Bucks,3,0,1970-01-01 10:02:38.596,158.596,SHOTGUN
UnsavedReplay-2019.01.18-21.32.41.replay,jneutron27,LDJx2,4,0,1970-01-01 10:02:38.859,158.859,AR
