file,player_name,platform,retrieved_date,kd_rate,kills,matches_played,score,top_10,top_12s,top_25s,top_3s,top_5s,top_6s,win_pct,wins
UnsavedReplay-2019.01.17-20.30.00.replay,Cha cha lolo,pc,2019-01-19 00:29:56,0.22,99,452,37853,6,13,20,3,4,10,0,1
UnsavedReplay-2019.01.17-20.30.00.replay,charliecuzz,psn,2019-01-19 00:30:08,0.53,404,767,88740,24,52,60,9,13,22,0,2
UnsavedReplay-2019.01.17-20.30.00.replay,ItsNoelsy,pc,2019-01-19 00:30:14,1.74,998,597,123412,81,28,156,27,14,56,4,24
UnsavedReplay-2019.01.17-20.30.00.replay,ItsNoelsy,xbl,2019-01-19 00:30:19,2.63,8076,3616,1128415,323,269,502,604,171,850,15,546
UnsavedReplay-2019.01.17-20.30.00.replay,laSauce.Drip,pc,2019-01-19 00:30:22,0.79,56,72,9235,2,2,11,2,2,3,1,1
UnsavedReplay-2019.01.17-20.30.00.replay,laSauce.Drip,xbl,2019-01-19 00:30:27,0.77,1258,1673,208458,77,86,182,62,42,124,2,29
UnsavedReplay-2019.01.17-20.30.00.replay,TTV nsgfrosty,pc,2019-01-19 00:30:30,0.34,605,1793,175083,31,57,137,26,16,57,1,10
UnsavedReplay-2019.01.17-20.30.00.replay,OfficialHipno,pc,2019-01-19 00:30:38,1.12,1433,1298,132568,40,118,103,18,56,45,1,13
UnsavedReplay-2019.01.17-20.30.00.replay,TTV-matt-QSD,pc,2019-01-19 00:30:47,0.45,2992,6666,758762,102,381,335,109,112,283,1,41
UnsavedReplay-2019.01.17-20.30.00.replay,TTV.Indexar,pc,2019-01-19 00:30:56,0.79,1456,1865,228366,23,75,81,40,17,115,1,22
UnsavedReplay-2019.01.17-20.30.00.replay,58851wolf,pc,2019-01-19 00:31:05,1.05,900,867,106257,37,34,100,14,9,21,1,8
UnsavedReplay-2019.01.17-20.30.00.replay,ralph2411ch,pc,2019-01-19 00:31:21,0.19,195,1002,93873,65,15,150,4,3,9,0,1
UnsavedReplay-2019.01.17-20.30.00.replay,paris17645,psn,2019-01-19 00:31:32,0.51,297,585,88787,14,68,29,16,27,39,1,8
UnsavedReplay-2019.01.17-20.30.00.replay,xd milan ツ,pc,2019-01-19 00:31:38,0.56,590,1073,138119,33,118,65,9,43,30,1,12
UnsavedReplay-2019.01.17-20.30.00.replay,xd milan ツ,psn,2019-01-19 00:31:40,0.41,2659,6579,852378,117,422,385,197,160,431,1,51
UnsavedReplay-2019.01.17-20.30.00.replay,AesSport,pc,2019-01-19 00:31:46,0.66,53,80,7440,2,0,10,0,0,0,0,0
UnsavedReplay-2019.01.17-20.30.00.replay,AesSport,psn,2019-01-19 00:31:49,0.51,332,645,59423,15,3,68,1,1,11,0,0
