file,player_name,platform,retrieved_date,kd_rate,kills,matches_played,score,top_10,top_12s,top_25s,top_3s,top_5s,top_6s,win_pct,wins
UnsavedReplay-2019.01.17-21.14.38.replay,Deeth251,pc,2019-01-18 23:37:33,0.0,0,13,1320,1,0,2,0,0,1,0,0
UnsavedReplay-2019.01.17-21.14.38.replay,Deeth251,psn,2019-01-18 23:37:36,0.39,991,2588,273696,38,82,178,37,24,94,1,19
UnsavedReplay-2019.01.17-21.14.38.replay,ItsNoelsy,pc,2019-01-18 23:37:42,1.74,998,597,123412,81,28,156,27,14,56,4,24
UnsavedReplay-2019.01.17-21.14.38.replay,ItsNoelsy,xbl,2019-01-18 23:37:47,2.63,8076,3616,1128415,323,269,502,604,171,850,15,546
UnsavedReplay-2019.01.17-21.14.38.replay,420bryan,pc,2019-01-18 23:37:50,1.22,2649,2241,391356,74,236,202,98,118,166,3,68
UnsavedReplay-2019.01.17-21.14.38.replay,xX Kill_R_Bee Xx,pc,2019-01-18 23:37:58,0.68,2406,3569,443508,334,27,759,29,8,73,0,12
UnsavedReplay-2019.01.17-21.14.38.replay,JovialEdits,pc,2019-01-18 23:38:06,2.6,13,6,1235,1,1,1,0,1,0,17,1
UnsavedReplay-2019.01.17-21.14.38.replay,JovialEdits,psn,2019-01-18 23:38:09,1.98,5390,2874,579377,214,305,421,117,154,193,5,150
UnsavedReplay-2019.01.17-21.14.38.replay,Nippy3018,pc,2019-01-18 23:38:15,1.6,4989,3383,750386,215,216,361,364,129,558,8,260
UnsavedReplay-2019.01.17-21.14.38.replay,CNG GiveMeKillz,pc,2019-01-18 23:38:23,1.25,6789,5500,631289,377,94,853,9,32,20,1,50
UnsavedReplay-2019.01.17-21.14.38.replay,CNG GiveMeKillz,xbl,2019-01-18 23:38:28,0.83,123,157,32165,0,9,0,19,2,29,6,9
UnsavedReplay-2019.01.17-21.14.38.replay,Potatomaster21,pc,2019-01-18 23:38:31,1.25,5919,4869,801157,272,391,734,165,177,282,3,128
UnsavedReplay-2019.01.17-21.14.38.replay,xdV3N1,pc,2019-01-18 23:38:47,1.25,8989,7316,1163921,121,478,305,313,179,647,2,132
UnsavedReplay-2019.01.17-21.14.38.replay,Ūrī,pc,2019-01-18 23:38:55,0.62,1355,2186,243599,37,117,164,24,34,53,1,10
UnsavedReplay-2019.01.17-21.14.38.replay,thoto112,pc,2019-01-18 23:39:03,0.18,148,817,124451,54,12,101,41,7,94,1,7
UnsavedReplay-2019.01.17-21.14.38.replay,YaHabiib,pc,2019-01-18 23:39:12,0.79,1301,1696,279028,98,151,210,62,69,108,2,41
UnsavedReplay-2019.01.17-21.14.38.replay,YaHabiib,psn,2019-01-18 23:39:14,0.44,396,916,115480,24,41,93,16,16,35,1,11
UnsavedReplay-2019.01.17-21.14.38.replay,CraiglesNZ,pc,2019-01-18 23:39:20,0.41,498,1225,125119,89,2,266,2,1,7,0,1
UnsavedReplay-2019.01.17-21.14.38.replay,NOT_Kav,pc,2019-01-18 23:39:28,0.21,362,1729,194470,47,92,120,32,43,73,0,6
UnsavedReplay-2019.01.17-21.14.38.replay,NOT_Kav,xbl,2019-01-18 23:39:33,0.29,121,415,40810,12,5,49,3,3,7,0,0
UnsavedReplay-2019.01.17-21.14.38.replay,DJXDkalin,pc,2019-01-18 23:39:36,0.2,374,1916,153278,12,32,75,8,6,29,0,4
UnsavedReplay-2019.01.17-21.14.38.replay,StanbrookFN,pc,2019-01-18 23:39:45,2.04,7599,3947,772100,184,493,336,186,269,316,6,223
UnsavedReplay-2019.01.17-21.14.38.replay,StanbrookFN,psn,2019-01-18 23:39:48,1.69,4340,2767,635708,199,317,371,255,191,412,7,194
UnsavedReplay-2019.01.17-21.14.38.replay,Creamo85,pc,2019-01-18 23:39:53,0.08,5,63,8508,10,0,25,0,0,0,0,0
UnsavedReplay-2019.01.17-21.14.38.replay,KɨngZ,pc,2019-01-18 23:40:01,0.68,3537,5313,656258,77,252,243,142,85,288,2,82
