file,eliminated,eliminator,gun_type,knocked,time,seconds,weapon
UnsavedReplay-2019.01.18-19.13.33.replay,CloudRaze,timbow272,4,0,1970-01-01 10:00:53.994,53.994,AR
UnsavedReplay-2019.01.18-19.13.33.replay,RCAssassin101,Rεgan,5,0,1970-01-01 10:01:01.307,61.307,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,Chief Lvwis,MM_.ㅤ,5,0,1970-01-01 10:01:03.963,63.963,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,RyZe_XAyanX,Chaos_Blitz,3,0,1970-01-01 10:01:04.426,64.426,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,Hamiiiz,HeniThinIsPosibl,4,0,1970-01-01 10:01:08.034,68.034,AR
UnsavedReplay-2019.01.18-19.13.33.replay,Wildcard_Gaming,asleiman34,5,0,1970-01-01 10:01:11.453,71.453,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,MM_.ㅤ,Stιngy,2,0,1970-01-01 10:01:16.784,76.784,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,Not Woloit,ClassicBmac88,10,0,1970-01-01 10:01:19.014,79.014,GRENADELAUNCHER
UnsavedReplay-2019.01.18-19.13.33.replay,Dat_01,ni-gelly,5,0,1970-01-01 10:01:20.966,80.966,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,cobrabolton,bChamp4,8,0,1970-01-01 10:01:21.068,81.068,GRENADE
UnsavedReplay-2019.01.18-19.13.33.replay,XxaimassedXx,hw2110,8,0,1970-01-01 10:01:22.207,82.207,GRENADE
UnsavedReplay-2019.01.18-19.13.33.replay,ReVErsE_Dumbird,Stιngy,2,0,1970-01-01 10:01:23.727,83.727,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,SpanPrism644233,choccymilk42069,2,0,1970-01-01 10:01:26.947,86.947,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,TTVboingaloing,Noiseless.,4,0,1970-01-01 10:01:37.597,97.597,AR
UnsavedReplay-2019.01.18-19.13.33.replay,DrMcChicken,ItsMeLucaK,4,0,1970-01-01 10:01:39.136,99.136,AR
UnsavedReplay-2019.01.18-19.13.33.replay,jaba_jam,hw2110,4,0,1970-01-01 10:01:39.197,99.197,AR
UnsavedReplay-2019.01.18-19.13.33.replay,XPILOT99,Snafue_,3,0,1970-01-01 10:01:39.412,99.412,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,makafamz,timbow272,4,0,1970-01-01 10:01:41.246,101.246,AR
UnsavedReplay-2019.01.18-19.13.33.replay,BRICKDAWG1,ItsMeLucaK,4,0,1970-01-01 10:01:42.056,102.056,AR
UnsavedReplay-2019.01.18-19.13.33.replay,Esphire YT,HeniThinIsPosibl,2,0,1970-01-01 10:01:47.578,107.578,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,Swoope,Superman40000000,3,0,1970-01-01 10:02:07.190,127.19,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,AG_Ferrari,thexboxplum,2,0,1970-01-01 10:02:07.520,127.52,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,Soapdodger109,TTV.n.iggashyper,4,0,1970-01-01 10:02:08.693,128.693,AR
UnsavedReplay-2019.01.18-19.13.33.replay,dj caks,Tubsys_boyz,6,0,1970-01-01 10:02:09.757,129.757,SNIPER
UnsavedReplay-2019.01.18-19.13.33.replay,BigDaddyChev,Yendall,3,0,1970-01-01 10:02:11.497,131.497,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,the_true_aussie,thexboxplum,2,0,1970-01-01 10:02:12.753,132.753,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,AB7PLAYERON12343,SamJettRed,4,0,1970-01-01 10:02:12.918,132.918,AR
UnsavedReplay-2019.01.18-19.13.33.replay,XzNoClout,Noiseless.,4,0,1970-01-01 10:02:14.356,134.356,AR
UnsavedReplay-2019.01.18-19.13.33.replay,Noiseless.,HeniThinIsPosibl,2,0,1970-01-01 10:02:19.533,139.533,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,PeterNT,Tubsys_boyz,7,0,1970-01-01 10:02:21.293,141.293,PICKAXE
UnsavedReplay-2019.01.18-19.13.33.replay,Joeyッ,HeniThinIsPosibl,4,0,1970-01-01 10:02:22.471,142.471,AR
UnsavedReplay-2019.01.18-19.13.33.replay,CryingRaijin,PlazmaCake,2,0,1970-01-01 10:02:23.550,143.55,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,ግራን,ØxFlâkèÿ,4,0,1970-01-01 10:02:28.640,148.64,AR
UnsavedReplay-2019.01.18-19.13.33.replay,DigilantDino69,tron121,6,0,1970-01-01 10:02:31.012,151.012,SNIPER
UnsavedReplay-2019.01.18-19.13.33.replay,ClassicBmac88,Rεgan,3,0,1970-01-01 10:02:33.647,153.647,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,senuk981,asleiman34,3,0,1970-01-01 10:02:42.353,162.353,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,Rεgan,Nickoz11502,4,0,1970-01-01 10:02:42.929,162.929,AR
UnsavedReplay-2019.01.18-19.13.33.replay,ØxFlâkèÿ,hw2110,4,0,1970-01-01 10:02:44.043,164.043,AR
UnsavedReplay-2019.01.18-19.13.33.replay,Tubsys_boyz,SatchSquash,2,0,1970-01-01 10:02:49.234,169.234,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,Crystal_Wolf_04,thexboxplum,4,0,1970-01-01 10:02:52.815,172.815,AR
UnsavedReplay-2019.01.18-19.13.33.replay,CC.1_,bChamp4,3,0,1970-01-01 10:02:54.846,174.846,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,Darkiller100508,mga qaqo,2,0,1970-01-01 10:02:55.733,175.733,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,tanki200000,Stιngy,4,0,1970-01-01 10:03:00.427,180.427,AR
UnsavedReplay-2019.01.18-19.13.33.replay,choccymilk42069,Аjz,3,0,1970-01-01 10:03:01.159,181.159,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,SatchSquash,GingerΒread,4,0,1970-01-01 10:03:24.263,204.263,AR
UnsavedReplay-2019.01.18-19.13.33.replay,timbow272,SamJettRed,3,0,1970-01-01 10:03:26.417,206.417,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,MT_Lynx,TTTT. Cá Vàng,5,0,1970-01-01 10:03:30.625,210.625,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,sPαm._YT,3asterClaws,4,0,1970-01-01 10:03:32.513,212.513,AR
UnsavedReplay-2019.01.18-19.13.33.replay,Hoemygosh,Sketc.,3,0,1970-01-01 10:03:33.495,213.495,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,mga qaqo,HeniThinIsPosibl,2,0,1970-01-01 10:03:39.776,219.776,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,tron121,Nurv_Zonex,6,0,1970-01-01 10:03:49.891,229.891,SNIPER
UnsavedReplay-2019.01.18-19.13.33.replay,KitKats_321,thexboxplum,3,0,1970-01-01 10:03:49.910,229.91,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,UL Riffington X,Superman40000000,5,0,1970-01-01 10:04:01.340,241.34,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,Stιngy,hw2110,6,0,1970-01-01 10:04:08.536,248.536,SNIPER
UnsavedReplay-2019.01.18-19.13.33.replay,Yendall,PHPCU1,3,0,1970-01-01 10:04:13.701,253.701,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,FestivalCrib231,LILyeetz,3,0,1970-01-01 10:04:37.817,277.817,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,ni-gelly,thexboxplum,3,0,1970-01-01 10:04:50.044,290.044,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,Chaos_Blitz,Snafue_,3,0,1970-01-01 10:05:24.823,324.823,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,HostxgeTTV,BattleBall 101,4,0,1970-01-01 10:05:43.880,343.88,AR
UnsavedReplay-2019.01.18-19.13.33.replay,PlazmaCake,Superman40000000,4,0,1970-01-01 10:05:49.538,349.538,AR
UnsavedReplay-2019.01.18-19.13.33.replay,Mpaf0007,Nickoz11502,2,0,1970-01-01 10:05:58.236,358.236,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,LordPickel,thexboxplum,3,0,1970-01-01 10:06:05.361,365.361,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,Аjz,nothumandogsue,3,0,1970-01-01 10:06:05.566,365.566,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,x_ESOG315_x,GingerΒread,3,0,1970-01-01 10:06:05.848,365.848,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,Nickoz11502,hw2110,4,0,1970-01-01 10:06:16.575,376.575,AR
UnsavedReplay-2019.01.18-19.13.33.replay,TTV.n.iggashyper,Benjaminkhalil,3,0,1970-01-01 10:06:30.476,390.476,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,MonkeyMag1c66,Superman40000000,3,0,1970-01-01 10:06:34.148,394.148,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,TTTT. Cá Vàng,Snafue_,3,0,1970-01-01 10:06:37.048,397.048,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,SamJettRed,3asterClaws,3,0,1970-01-01 10:06:47.296,407.296,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,Superman40000000,ItsMeLucaK,4,0,1970-01-01 10:06:53.287,413.287,AR
UnsavedReplay-2019.01.18-19.13.33.replay,bChamp4,hw2110,6,0,1970-01-01 10:07:01.422,421.422,SNIPER
UnsavedReplay-2019.01.18-19.13.33.replay,nothumandogsue,Sketc.,3,0,1970-01-01 10:07:28.280,448.28,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,HeniThinIsPosibl,Sketc.,1,0,1970-01-01 10:08:07.898,487.898,FALL
UnsavedReplay-2019.01.18-19.13.33.replay,YourBoyLuca7,BattleBall 101,3,0,1970-01-01 10:08:54.879,534.879,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,GingerΒread,PHPCU1,5,0,1970-01-01 10:09:14.527,554.527,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,3asterClaws,ItsMeLucaK,4,0,1970-01-01 10:09:30.241,570.241,AR
UnsavedReplay-2019.01.18-19.13.33.replay,Blaike888,Nurv_Zonex,4,0,1970-01-01 10:09:46.651,586.651,AR
UnsavedReplay-2019.01.18-19.13.33.replay,PHPCU1,Sketc.,3,0,1970-01-01 10:09:49.888,589.888,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,Sketc.,ItsMeLucaK,3,0,1970-01-01 10:10:18.785,618.785,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,Nurv_Zonex,hw2110,2,0,1970-01-01 10:10:27.977,627.977,PISTOL
UnsavedReplay-2019.01.18-19.13.33.replay,Alpha_king1,ItsMeLucaK,5,0,1970-01-01 10:11:03.471,663.471,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,Kushbush666,Kushbush666,10,0,1970-01-01 10:11:20.116,680.116,GRENADELAUNCHER
UnsavedReplay-2019.01.18-19.13.33.replay,thexboxplum,LILyeetz,5,0,1970-01-01 10:11:22.006,682.006,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,AverageDivinity,ItsMeLucaK,13,0,1970-01-01 10:11:26.217,686.217,BOW
UnsavedReplay-2019.01.18-19.13.33.replay,orangejoostice,LILyeetz,6,0,1970-01-01 10:12:01.955,721.955,SNIPER
UnsavedReplay-2019.01.18-19.13.33.replay,LILyeetz,ItsMeLucaK,5,0,1970-01-01 10:12:36.359,756.359,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,lilpumpshoty,Sch00chums,5,0,1970-01-01 10:13:02.643,782.643,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,Benjaminkhalil,hw2110,3,0,1970-01-01 10:13:41.753,821.753,SHOTGUN
UnsavedReplay-2019.01.18-19.13.33.replay,Sch00chums,ItsMeLucaK,13,0,1970-01-01 10:13:59.328,839.328,BOW
UnsavedReplay-2019.01.18-19.13.33.replay,BattleBall 101,hw2110,6,0,1970-01-01 10:16:13.277,973.277,SNIPER
UnsavedReplay-2019.01.18-19.13.33.replay,K-Dōg,ItsMeLucaK,5,0,1970-01-01 10:16:57.861,1017.861,SMG
UnsavedReplay-2019.01.18-19.13.33.replay,Snafue_,ItsMeLucaK,16,0,1970-01-01 10:17:28.818,1048.818,MISSING
UnsavedReplay-2019.01.18-19.13.33.replay,ItsMeLucaK,ItsMeLucaK,0,0,1970-01-01 10:20:20.633,1220.633,STORM
