file,player_name,platform,retrieved_date,kd_rate,kills,matches_played,score,top_10,top_12s,top_25s,top_3s,top_5s,top_6s,win_pct,wins
UnsavedReplay-2019.01.17-20.01.44.replay,minuons,pc,2019-01-19 00:16:11,0.9,1210,1359,165784,34,42,120,22,14,65,1,12
UnsavedReplay-2019.01.17-20.01.44.replay,еntice,pc,2019-01-19 00:16:21,2.23,6036,2859,597108,244,281,511,110,146,181,5,154
UnsavedReplay-2019.01.17-20.01.44.replay,еntice,psn,2019-01-19 00:16:25,3.02,19700,7322,1860583,744,306,1271,684,192,991,11,799
UnsavedReplay-2019.01.17-20.01.44.replay,DEADSHOT_54,pc,2019-01-19 00:16:30,0.93,2644,2866,404898,230,44,785,33,18,61,1,20
UnsavedReplay-2019.01.17-20.01.44.replay,DEADSHOT_54,psn,2019-01-19 00:16:33,0.88,60,71,14661,5,4,18,6,3,8,4,3
UnsavedReplay-2019.01.17-20.01.44.replay,The Mïlkman,pc,2019-01-19 00:16:46,1.09,2510,2322,286353,59,129,216,26,39,65,1,17
UnsavedReplay-2019.01.17-20.01.44.replay,Riingo04,pc,2019-01-19 00:16:55,0.18,12,65,4607,1,0,6,0,0,0,0,0
UnsavedReplay-2019.01.17-20.01.44.replay,Riingo04,psn,2019-01-19 00:16:58,0.38,292,762,73745,20,16,85,5,7,6,0,3
UnsavedReplay-2019.01.17-20.01.44.replay,C R A Y O N S,pc,2019-01-19 00:17:12,2.78,16778,6499,1356949,629,466,1007,425,256,730,7,463
UnsavedReplay-2019.01.17-20.01.44.replay,world3xclusive,pc,2019-01-19 00:17:21,1.75,6259,3673,660880,650,106,1351,17,55,32,2,89
UnsavedReplay-2019.01.17-20.01.44.replay,BRANULATOR_,pc,2019-01-19 00:17:29,0.08,59,778,76702,4,15,28,9,5,22,1,4
UnsavedReplay-2019.01.17-20.01.44.replay,BRANULATOR_,psn,2019-01-19 00:17:32,0.55,1043,1916,206331,13,70,72,32,19,76,1,16
UnsavedReplay-2019.01.17-20.01.44.replay,Twitch MystakzTV,pc,2019-01-19 00:17:37,1.16,2031,1776,252148,73,167,133,27,56,74,1,24
UnsavedReplay-2019.01.17-20.01.44.replay,Twitch MystakzTV,psn,2019-01-19 00:17:40,0.85,5178,6214,958015,414,350,796,141,143,310,2,123
UnsavedReplay-2019.01.17-20.01.44.replay,Ice Guy,pc,2019-01-19 00:17:45,1.0,1430,1458,236506,60,159,127,42,65,77,2,28
UnsavedReplay-2019.01.17-20.01.44.replay,CrispyCandy,pc,2019-01-19 00:17:53,0.9,238,271,36640,7,15,19,7,6,14,2,6
UnsavedReplay-2019.01.17-20.01.44.replay,CrispyCandy,xbl,2019-01-19 00:17:59,1.0,1,1,59,0,0,0,0,0,0,0,0
UnsavedReplay-2019.01.17-20.01.44.replay,skitsm8,pc,2019-01-19 00:18:02,0.33,1449,4433,623983,378,96,896,90,31,216,1,21
UnsavedReplay-2019.01.17-20.01.44.replay,Soulz-Predatorz,pc,2019-01-19 00:18:10,0.42,110,267,33128,1,4,2,12,2,25,2,5
UnsavedReplay-2019.01.17-20.01.44.replay,Soulz-Predatorz,psn,2019-01-19 00:18:12,0.44,170,393,58469,0,36,2,14,18,38,2,7
UnsavedReplay-2019.01.17-20.01.44.replay,profit1229,pc,2019-01-19 00:18:18,0.25,342,1359,134752,13,31,28,15,3,47,0,3
UnsavedReplay-2019.01.17-20.01.44.replay,BIG BRONO 14,pc,2019-01-19 00:18:35,0.14,9,66,6130,4,1,14,0,0,0,0,0
UnsavedReplay-2019.01.17-20.01.44.replay,Twitch 7SMegamin,pc,2019-01-19 00:18:43,3.74,19923,6286,1751335,517,933,818,608,643,834,15,964
UnsavedReplay-2019.01.17-20.01.44.replay,Korean Senpai,pc,2019-01-19 00:18:51,1.37,1252,955,185112,142,97,242,18,48,37,5,43
UnsavedReplay-2019.01.17-20.01.44.replay,Korean Senpai,psn,2019-01-19 00:18:54,0.72,1647,2316,405648,293,116,610,41,51,91,2,38
UnsavedReplay-2019.01.17-20.01.44.replay,MrPickleIckle,pc,2019-01-19 00:19:00,0.71,2683,3839,593075,41,370,102,185,156,367,2,84
UnsavedReplay-2019.01.17-20.01.44.replay,Dawηㅤ,pc,2019-01-19 00:19:08,1.56,2450,1636,291051,127,79,295,72,38,109,4,65
UnsavedReplay-2019.01.17-20.01.44.replay,PeterNT,pc,2019-01-19 00:19:16,0.21,104,503,68485,28,7,79,19,3,49,1,6
UnsavedReplay-2019.01.17-20.01.44.replay,GustavoSpecht YT,pc,2019-01-19 00:19:24,1.32,3128,2448,403280,124,202,276,90,105,175,3,75
UnsavedReplay-2019.01.17-20.01.44.replay,TTV YOUR NOOB,pc,2019-01-19 00:19:32,0.31,1651,5349,559641,194,156,578,52,48,124,0,12
UnsavedReplay-2019.01.17-20.01.44.replay,Rafy ツ,pc,2019-01-19 00:19:40,1.81,244,141,24970,10,22,15,3,11,5,4,6
UnsavedReplay-2019.01.17-20.01.44.replay,Rafy ツ,psn,2019-01-19 00:19:43,0.91,583,647,79993,27,43,52,9,14,20,1,9
UnsavedReplay-2019.01.17-20.01.44.replay,Rafy ツ,xbl,2019-01-19 00:19:45,0.66,880,1363,228040,84,93,209,49,46,93,2,28
UnsavedReplay-2019.01.17-20.01.44.replay,xd BearingB,pc,2019-01-19 00:19:48,1.66,8260,5124,774059,287,336,622,111,175,170,3,156
UnsavedReplay-2019.01.17-20.01.44.replay,Sinister C,pc,2019-01-19 00:19:56,0.43,169,397,36633,3,8,14,7,2,18,0,1
UnsavedReplay-2019.01.17-20.01.44.replay,huunter101,pc,2019-01-19 00:20:05,0.18,20,113,11234,1,11,9,1,4,2,0,0
UnsavedReplay-2019.01.17-20.01.44.replay,huunter101,xbl,2019-01-19 00:20:10,0.72,691,979,139677,12,67,31,38,18,84,1,13
