file,eliminated,eliminator,gun_type,knocked,time,seconds,weapon
UnsavedReplay-2019.01.17-20.01.44.replay,Joogie Fan,Anntecs,3,0,1970-01-01 10:01:15.846,75.846,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,Fοχ.,TTV_WallaBeastt,4,0,1970-01-01 10:01:22.210,82.21,AR
UnsavedReplay-2019.01.17-20.01.44.replay,xd BearingB,huskii201,2,0,1970-01-01 10:01:24.664,84.664,PISTOL
UnsavedReplay-2019.01.17-20.01.44.replay,duckwang_,MajesticSergeant,5,0,1970-01-01 10:01:25.252,85.252,SMG
UnsavedReplay-2019.01.17-20.01.44.replay,SweatyBrownCock,Korean Senpai,4,0,1970-01-01 10:01:28.882,88.882,AR
UnsavedReplay-2019.01.17-20.01.44.replay,McDankHead__,AxruzSolo,4,0,1970-01-01 10:01:31.270,91.27,AR
UnsavedReplay-2019.01.17-20.01.44.replay,Rafy ツ,TTV_WallaBeastt,5,0,1970-01-01 10:01:35.343,95.343,SMG
UnsavedReplay-2019.01.17-20.01.44.replay,AxruzSolo,Uniquelyy,4,0,1970-01-01 10:01:36.768,96.768,AR
UnsavedReplay-2019.01.17-20.01.44.replay,CrispyCandy,SMK_Sentrit,3,0,1970-01-01 10:01:38.089,98.089,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,Ghostplanet 674,CalmestBloom910,4,0,1970-01-01 10:01:39.966,99.966,AR
UnsavedReplay-2019.01.17-20.01.44.replay,TommyG243,zillaa0.o,8,0,1970-01-01 10:01:40.041,100.041,GRENADE
UnsavedReplay-2019.01.17-20.01.44.replay,lorddan22,Βowls,4,0,1970-01-01 10:01:42.182,102.182,AR
UnsavedReplay-2019.01.17-20.01.44.replay,Lil_Bunny77,TTVTurtlesBTW,10,0,1970-01-01 10:01:43.352,103.352,GRENADELAUNCHER
UnsavedReplay-2019.01.17-20.01.44.replay,BRANULATOR_,BRANULATOR_,1,0,1970-01-01 10:01:44.204,104.204,FALL
UnsavedReplay-2019.01.17-20.01.44.replay,seveeneAthena06,Riingo04,5,0,1970-01-01 10:01:44.712,104.712,SMG
UnsavedReplay-2019.01.17-20.01.44.replay,DontCryBrother,Twitch 7SMegamin,2,0,1970-01-01 10:01:52.064,112.064,PISTOL
UnsavedReplay-2019.01.17-20.01.44.replay,Sinister C,huskii201,2,0,1970-01-01 10:01:53.441,113.441,PISTOL
UnsavedReplay-2019.01.17-20.01.44.replay,use code AYNCH,Tsuroyu,3,0,1970-01-01 10:01:54.516,114.516,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,Synk NZ,Waldren_,3,0,1970-01-01 10:02:00.006,120.006,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,blk-mgk,Uniquelyy,5,0,1970-01-01 10:02:00.228,120.228,SMG
UnsavedReplay-2019.01.17-20.01.44.replay,profit1229,TTV_WallaBeastt,4,0,1970-01-01 10:02:00.739,120.739,AR
UnsavedReplay-2019.01.17-20.01.44.replay,Dic.,Korean Senpai,6,0,1970-01-01 10:02:07.637,127.637,SNIPER
UnsavedReplay-2019.01.17-20.01.44.replay,huskii201,Anntecs,3,0,1970-01-01 10:02:08.616,128.616,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,TTVTurtlesBTW,BRODJ,6,0,1970-01-01 10:02:09.856,129.856,SNIPER
UnsavedReplay-2019.01.17-20.01.44.replay,XXunBEARableX,Harry2K15,14,0,1970-01-01 10:02:10.179,130.179,TRAP
UnsavedReplay-2019.01.17-20.01.44.replay,CalmestBloom910,SMK_Sentrit,3,0,1970-01-01 10:02:12.092,132.092,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,Βowls,Twitch 7SMegamin,12,0,1970-01-01 10:02:20.138,140.138,MINIGUN
UnsavedReplay-2019.01.17-20.01.44.replay,TheOPLord,lukeymas,4,0,1970-01-01 10:02:21.290,141.29,AR
UnsavedReplay-2019.01.17-20.01.44.replay,The Mïlkman,Dawηㅤ,3,0,1970-01-01 10:02:21.586,141.586,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,SMK_Sentrit,Harry2K15,14,0,1970-01-01 10:02:23.262,143.262,TRAP
UnsavedReplay-2019.01.17-20.01.44.replay,Harry2K15,Twitch 7SMegamin,2,0,1970-01-01 10:02:27.435,147.435,PISTOL
UnsavedReplay-2019.01.17-20.01.44.replay,Strrfryy,dotahunter,3,0,1970-01-01 10:02:38.132,158.132,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,skitsm8,MajesticSergeant,5,0,1970-01-01 10:02:38.323,158.323,SMG
UnsavedReplay-2019.01.17-20.01.44.replay,Soulz-Predatorz,Waldren_,4,0,1970-01-01 10:02:39.394,159.394,AR
UnsavedReplay-2019.01.17-20.01.44.replay,TwitchTV_Kquid,Far_Q_Buddy,2,0,1970-01-01 10:02:40.105,160.105,PISTOL
UnsavedReplay-2019.01.17-20.01.44.replay,world3xclusive,Anarukz,3,0,1970-01-01 10:02:44.378,164.378,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,dotahunter,Uniquelyy,5,0,1970-01-01 10:02:44.911,164.911,SMG
UnsavedReplay-2019.01.17-20.01.44.replay,NewDawn567,MxckYT,4,0,1970-01-01 10:03:05.554,185.554,AR
UnsavedReplay-2019.01.17-20.01.44.replay,MajesticSergeant,Waldren_,3,0,1970-01-01 10:03:14.202,194.202,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,Anarukz,Axelerant,4,0,1970-01-01 10:03:15.776,195.776,AR
UnsavedReplay-2019.01.17-20.01.44.replay,BIG BRONO 14,CummyCowDoy,2,0,1970-01-01 10:03:17.172,197.172,PISTOL
UnsavedReplay-2019.01.17-20.01.44.replay,Ryan663366,zillaa0.o,5,0,1970-01-01 10:03:22.888,202.888,SMG
UnsavedReplay-2019.01.17-20.01.44.replay,Twitch 7SMegamin,TTV_WallaBeastt,3,0,1970-01-01 10:03:23.289,203.289,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,C R A Y O N S,LogicOCE.,13,0,1970-01-01 10:03:24.995,204.995,BOW
UnsavedReplay-2019.01.17-20.01.44.replay,killah_03,Ice Guy,3,0,1970-01-01 10:03:29.513,209.513,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,huunter101,NEW YEAR NEW M3,3,0,1970-01-01 10:03:29.935,209.935,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,PeterNT,Wildah,8,0,1970-01-01 10:03:36.398,216.398,GRENADE
UnsavedReplay-2019.01.17-20.01.44.replay,Spagbog4Tea,Wildah,8,0,1970-01-01 10:03:39.521,219.521,GRENADE
UnsavedReplay-2019.01.17-20.01.44.replay,KloX AgentSmity,핵쓰는사람,3,0,1970-01-01 10:03:39.752,219.752,SHOTGUN
UnsavedReplay-2019.01.17-20.01.44.replay,Anntecs,CummyCowDoy,4,0,1970-01-01 10:03:47.764,227.764,AR
UnsavedReplay-2019.01.17-20.01.44.replay,NEW YEAR NEW M3,zillaa0.o,5,0,1970-01-01 10:03:48.565,228.565,SMG
