file,player_name,platform,retrieved_date,kd_rate,kills,matches_played,score,top_10,top_12s,top_25s,top_3s,top_5s,top_6s,win_pct,wins
UnsavedReplay-2019.01.18-20.12.58.replay,ttv.kynanOCE,pc,2019-01-19 01:23:07,1.76,5973,3549,629499,109,368,223,168,169,274,4,155
UnsavedReplay-2019.01.18-20.12.58.replay,xxZ0MBI3xx,pc,2019-01-19 01:23:15,0.76,2318,3125,517337,185,241,446,122,102,234,2,57
UnsavedReplay-2019.01.18-20.12.58.replay,crenex19,pc,2019-01-19 01:23:24,0.55,1203,2183,271752,48,105,181,44,32,106,1,10
UnsavedReplay-2019.01.18-20.12.58.replay,MTS - Billson,pc,2019-01-19 01:23:32,0.52,363,693,81025,11,54,52,5,18,20,0,1
UnsavedReplay-2019.01.18-20.12.58.replay,MTS - Billson,psn,2019-01-19 01:23:34,1.17,35,30,4914,5,0,10,0,0,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,Little One 420,pc,2019-01-19 01:23:40,0.43,759,1755,181122,70,41,207,12,11,39,0,5
UnsavedReplay-2019.01.18-20.12.58.replay,Little One 420,psn,2019-01-19 01:23:42,0.57,8,14,1469,0,0,4,0,0,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,UndisclosedKek,pc,2019-01-19 01:23:48,1.34,619,475,82175,8,72,15,20,40,39,3,12
UnsavedReplay-2019.01.18-20.12.58.replay,HAHA- FunTimes,pc,2019-01-19 01:23:57,0.29,363,1274,160470,25,66,72,42,24,110,1,6
UnsavedReplay-2019.01.18-20.12.58.replay,HAHA- FunTimes,psn,2019-01-19 01:24:00,0.56,190,343,46609,26,8,56,7,4,10,2,6
UnsavedReplay-2019.01.18-20.12.58.replay,PHREAKY PHREAK,pc,2019-01-19 01:24:05,0.96,4642,4906,719414,166,166,485,195,65,380,2,91
UnsavedReplay-2019.01.18-20.12.58.replay,PHREAKY PHREAK,psn,2019-01-19 01:24:08,0.57,96,169,21389,5,15,13,2,4,6,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,Borstey,pc,2019-01-19 01:24:13,0.56,25,45,4199,1,1,12,0,0,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,ThatRedW0lf,pc,2019-01-19 01:24:22,0.26,213,832,91620,15,33,68,19,11,48,0,3
UnsavedReplay-2019.01.18-20.12.58.replay,ThatRedW0lf,xbl,2019-01-19 01:24:27,1.0,38,38,3501,1,0,6,0,0,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,HAZEI_FloatHero,pc,2019-01-19 01:24:30,0.51,1381,2701,303550,24,101,103,37,30,106,0,10
UnsavedReplay-2019.01.18-20.12.58.replay,YT_YoloDuck,pc,2019-01-19 01:24:38,0.41,1243,3054,301102,97,92,333,23,27,47,0,7
UnsavedReplay-2019.01.18-20.12.58.replay,YT_YoloDuck,xbl,2019-01-19 01:24:43,0.91,308,345,44582,6,18,18,11,7,25,1,5
UnsavedReplay-2019.01.18-20.12.58.replay,DinoRider101,pc,2019-01-19 01:24:46,0.75,1463,1979,265282,119,76,294,46,34,92,1,16
UnsavedReplay-2019.01.18-20.12.58.replay,DinoRider101,psn,2019-01-19 01:24:49,1.0,4,4,480,0,0,0,0,0,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,Hazzaツ,pc,2019-01-19 01:24:54,0.86,9318,10928,1324781,394,685,1048,158,297,286,1,145
UnsavedReplay-2019.01.18-20.12.58.replay,Rεgan,pc,2019-01-19 01:25:02,1.11,5619,5124,636281,258,111,715,84,37,170,1,53
UnsavedReplay-2019.01.18-20.12.58.replay,Rεgan,psn,2019-01-19 01:25:05,0.86,418,491,52346,19,5,73,5,3,9,1,6
UnsavedReplay-2019.01.18-20.12.58.replay,SneakyNinja_0412,pc,2019-01-19 01:25:12,0.04,17,472,34698,11,20,47,2,6,2,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,walshjeee,pc,2019-01-19 01:25:20,1.7,2285,1396,267756,54,192,111,69,98,122,4,53
UnsavedReplay-2019.01.18-20.12.58.replay,walshjeee,psn,2019-01-19 01:25:23,1.55,1372,963,223066,30,84,61,131,45,195,8,79
UnsavedReplay-2019.01.18-20.12.58.replay,Youtube Velly,pc,2019-01-19 01:25:29,0.91,125,139,19832,7,8,23,2,2,2,1,1
UnsavedReplay-2019.01.18-20.12.58.replay,Youtube Velly,psn,2019-01-19 01:25:31,1.73,18687,11409,2101894,767,1022,1509,477,563,764,6,631
UnsavedReplay-2019.01.18-20.12.58.replay,Aczidic,pc,2019-01-19 01:25:37,2.47,4034,1804,446258,80,161,137,258,85,393,10,174
UnsavedReplay-2019.01.18-20.12.58.replay,Aczidic,psn,2019-01-19 01:25:40,2.75,10651,4342,1012859,333,423,517,396,264,619,11,465
UnsavedReplay-2019.01.18-20.12.58.replay,nicko129856,pc,2019-01-19 01:25:53,1.16,2548,2243,336458,102,234,256,45,104,92,2,39
UnsavedReplay-2019.01.18-20.12.58.replay,magictrashcan,pc,2019-01-19 01:26:01,0.41,230,569,62959,12,21,26,22,5,51,1,4
UnsavedReplay-2019.01.18-20.12.58.replay,CuppyDez,pc,2019-01-19 01:26:09,0.05,18,360,31078,3,18,17,2,7,9,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,Myles Fairfull,pc,2019-01-19 01:26:18,0.37,632,1732,176021,48,64,154,16,12,49,0,5
UnsavedReplay-2019.01.18-20.12.58.replay,BamJohansen,pc,2019-01-19 01:26:28,0.3,218,732,81186,5,42,24,22,13,39,0,3
UnsavedReplay-2019.01.18-20.12.58.replay,REELPOOPIDYSCOOP,pc,2019-01-19 01:26:36,0.39,122,322,36292,2,29,6,9,9,23,2,7
UnsavedReplay-2019.01.18-20.12.58.replay,PeterNT,pc,2019-01-19 01:26:44,0.21,104,503,68485,28,7,79,19,3,49,1,6
UnsavedReplay-2019.01.18-20.12.58.replay,tuff-shot,psn,2019-01-19 01:26:55,0.45,863,1945,225593,72,57,253,20,20,36,0,8
UnsavedReplay-2019.01.18-20.12.58.replay,Jack4psd ttv,pc,2019-01-19 01:27:01,0.98,6032,6389,1033988,299,412,615,278,190,488,4,225
UnsavedReplay-2019.01.18-20.12.58.replay,SFD KAVE YT,pc,2019-01-19 01:27:09,0.39,251,646,63725,24,27,56,8,12,14,1,3
UnsavedReplay-2019.01.18-20.12.58.replay,SFD KAVE YT,psn,2019-01-19 01:27:11,0.6,21,35,3705,3,0,6,0,0,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,SFD KAVE YT,xbl,2019-01-19 01:27:14,0.84,87,103,15311,8,10,19,0,5,1,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,JMFootball,pc,2019-01-19 01:27:17,0.39,1410,3622,469916,136,268,311,80,102,206,1,35
UnsavedReplay-2019.01.18-20.12.58.replay,bigdickharri,pc,2019-01-19 01:27:25,0.69,177,258,30110,17,2,60,1,0,1,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,Bottleflip77,pc,2019-01-19 01:27:33,0.0,0,90,5667,1,0,7,0,0,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,WeeWee.,pc,2019-01-19 01:27:42,0.55,782,1456,222344,37,95,102,68,28,160,2,23
UnsavedReplay-2019.01.18-20.12.58.replay,Ziggeron,pc,2019-01-19 01:27:58,0.51,1027,2041,275703,156,100,329,32,34,67,1,19
UnsavedReplay-2019.01.18-20.12.58.replay,Krazy_Kane,pc,2019-01-19 01:28:06,0.38,253,672,72239,26,15,120,1,3,4,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,DooM Ghoul YT,pc,2019-01-19 01:28:22,0.26,9,34,3074,0,0,1,0,0,1,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,DooM Ghoul YT,psn,2019-01-19 01:28:25,0.77,6641,8717,1120021,162,517,527,207,179,451,1,107
UnsavedReplay-2019.01.18-20.12.58.replay,DooM Ghoul YT,xbl,2019-01-19 01:28:28,0.75,3,4,246,0,0,0,0,0,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,Tigroudax34,pc,2019-01-19 01:28:31,0.0,0,11,1358,1,0,3,0,0,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,Ω Baiz,pc,2019-01-19 01:28:39,1.62,4922,3192,665623,170,489,368,152,247,253,5,156
UnsavedReplay-2019.01.18-20.12.58.replay,Ω Baiz,psn,2019-01-19 01:28:42,0.92,897,992,99470,44,23,93,60,8,129,2,18
UnsavedReplay-2019.01.18-20.12.58.replay,TMC_JOHNTHEGOAT,pc,2019-01-19 01:28:48,0.18,1024,5829,461564,65,125,319,41,36,116,0,11
UnsavedReplay-2019.01.18-20.12.58.replay,patty6534,pc,2019-01-19 01:28:57,0.25,630,2505,280615,10,162,39,54,54,150,0,4
UnsavedReplay-2019.01.18-20.12.58.replay,patty6534,xbl,2019-01-19 01:29:02,0.66,327,498,66255,3,46,8,9,15,26,1,4
UnsavedReplay-2019.01.18-20.12.58.replay,xd Temptz,pc,2019-01-19 01:29:05,1.94,7724,4291,906445,233,548,514,257,350,434,7,318
UnsavedReplay-2019.01.18-20.12.58.replay,LindsayBoii3277,pc,2019-01-19 01:29:13,1.07,4061,3837,550908,56,408,156,69,144,114,1,55
UnsavedReplay-2019.01.18-20.12.58.replay,TTVBeadyEyes,pc,2019-01-19 01:29:22,0.55,72,131,14519,8,2,21,0,1,2,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,MxDaddyK,pc,2019-01-19 01:29:30,0.07,4,55,4774,1,4,4,0,2,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,Linden ツ,pc,2019-01-19 01:29:38,0.16,57,368,27736,3,8,12,3,3,10,0,1
UnsavedReplay-2019.01.18-20.12.58.replay,CS Chimp,pc,2019-01-19 01:29:55,0.15,417,2842,286569,37,117,185,49,28,130,0,7
UnsavedReplay-2019.01.18-20.12.58.replay,PhantomWill.,pc,2019-01-19 01:30:04,0.41,901,2194,238978,17,100,65,52,22,125,1,11
UnsavedReplay-2019.01.18-20.12.58.replay,Saberhap,pc,2019-01-19 01:30:12,0.43,191,443,54058,21,21,82,7,4,15,0,1
UnsavedReplay-2019.01.18-20.12.58.replay,MonsterHumper,pc,2019-01-19 01:30:20,1.87,6984,3963,768477,149,292,318,287,149,456,6,224
UnsavedReplay-2019.01.18-20.12.58.replay,zmbiekiller802,pc,2019-01-19 01:30:28,0.02,1,55,5290,1,2,3,1,0,2,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,Pagankitty4507,pc,2019-01-19 01:30:37,0.16,38,236,31928,5,14,13,7,7,22,0,1
UnsavedReplay-2019.01.18-20.12.58.replay,dabbingunicorn-p,psn,2019-01-19 01:30:48,0.76,4008,5321,770386,175,358,496,157,156,322,1,73
UnsavedReplay-2019.01.18-20.12.58.replay,ghostsrawesome,pc,2019-01-19 01:30:53,0.22,431,2008,233354,71,165,210,34,71,60,1,21
UnsavedReplay-2019.01.18-20.12.58.replay,CGANG85,pc,2019-01-19 01:31:01,0.18,10,56,7193,0,4,3,3,1,6,2,1
UnsavedReplay-2019.01.18-20.12.58.replay,CGANG85,psn,2019-01-19 01:31:04,0.25,878,3558,454089,72,235,180,154,89,334,1,37
UnsavedReplay-2019.01.18-20.12.58.replay,FlaxCharm,pc,2019-01-19 01:31:09,0.72,676,943,125653,60,21,146,14,6,41,1,6
UnsavedReplay-2019.01.18-20.12.58.replay,FlaxCharm,psn,2019-01-19 01:31:12,0.91,144,160,27626,12,1,32,2,0,5,1,2
UnsavedReplay-2019.01.18-20.12.58.replay,nfank,pc,2019-01-19 01:31:18,0.56,518,925,124389,14,78,35,26,26,64,1,5
UnsavedReplay-2019.01.18-20.12.58.replay,mushroomman396,pc,2019-01-19 01:31:26,1.63,13,8,967,0,0,1,0,0,0,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,mushroomman396,psn,2019-01-19 01:31:29,1.46,6878,4830,677154,184,282,498,112,133,214,2,114
UnsavedReplay-2019.01.18-20.12.58.replay,jackster058798hi,pc,2019-01-19 01:31:35,0.0,0,61,6730,3,1,8,1,0,2,0,0
UnsavedReplay-2019.01.18-20.12.58.replay,jackster058798hi,xbl,2019-01-19 01:31:40,0.29,111,381,31207,6,4,34,0,1,5,0,0
