file,eliminated,eliminator,gun_type,knocked,time,seconds,weapon
UnsavedReplay-2019.01.18-20.12.58.replay,Mango_236,nicko129856,2,0,1970-01-01 10:01:17.391,77.391,PISTOL
UnsavedReplay-2019.01.18-20.12.58.replay,SFD KAVE YT,Rεgan,5,0,1970-01-01 10:01:17.764,77.764,SMG
UnsavedReplay-2019.01.18-20.12.58.replay,HAHA- FunTimes,Hazzaツ,4,0,1970-01-01 10:01:22.719,82.719,AR
UnsavedReplay-2019.01.18-20.12.58.replay,SamJettRed,MTS - Billson,2,0,1970-01-01 10:01:27.266,87.266,PISTOL
UnsavedReplay-2019.01.18-20.12.58.replay,Hazzaツ,xd vengance,2,0,1970-01-01 10:01:27.571,87.571,PISTOL
UnsavedReplay-2019.01.18-20.12.58.replay,DinoRider101,Twitch OlioAU,2,0,1970-01-01 10:01:28.010,88.01,PISTOL
UnsavedReplay-2019.01.18-20.12.58.replay,Saberhap,crenex19,4,0,1970-01-01 10:01:28.048,88.048,AR
UnsavedReplay-2019.01.18-20.12.58.replay,LindsayBoii3277,BraithNZ,3,0,1970-01-01 10:01:28.076,88.076,SHOTGUN
UnsavedReplay-2019.01.18-20.12.58.replay,PHREAKY PHREAK,Akkunama_tatas,5,0,1970-01-01 10:01:28.411,88.411,SMG
UnsavedReplay-2019.01.18-20.12.58.replay,Ziggeron,Anima.,4,0,1970-01-01 10:01:29.100,89.1,AR
UnsavedReplay-2019.01.18-20.12.58.replay,PcPLAYERSSS1,patty6534,8,0,1970-01-01 10:01:29.846,89.846,GRENADE
UnsavedReplay-2019.01.18-20.12.58.replay,mushroomman396,MonsterHumper,3,0,1970-01-01 10:01:30.415,90.415,SHOTGUN
UnsavedReplay-2019.01.18-20.12.58.replay,walshjeee,Ω Baiz,4,0,1970-01-01 10:01:30.891,90.891,AR
UnsavedReplay-2019.01.18-20.12.58.replay,Zerodestroyer45,Anima.,4,0,1970-01-01 10:01:33.157,93.157,AR
