file,eliminated,eliminator,gun_type,knocked,time,seconds,weapon
UnsavedReplay-2019.01.17-20.50.58.replay,Serts7236,Underworldruler4,8,0,1970-01-01 10:00:48.300,48.3,GRENADE
UnsavedReplay-2019.01.17-20.50.58.replay,keyaes,xd DingkyDonky,8,0,1970-01-01 10:00:54.072,54.072,GRENADE
UnsavedReplay-2019.01.17-20.50.58.replay,TTVChickenDinner,TTV.P0tayt01234,4,0,1970-01-01 10:01:03.089,63.089,AR
UnsavedReplay-2019.01.17-20.50.58.replay,I Fked Ya Mum,xd DingkyDonky,2,0,1970-01-01 10:01:13.885,73.885,PISTOL
UnsavedReplay-2019.01.17-20.50.58.replay,Mystツ x,TOXIC34466,3,0,1970-01-01 10:01:18.111,78.111,SHOTGUN
UnsavedReplay-2019.01.17-20.50.58.replay,TSB_Howl,DjTalica,3,0,1970-01-01 10:01:18.286,78.286,SHOTGUN
UnsavedReplay-2019.01.17-20.50.58.replay,TOXIC34466,Brooksy73,4,0,1970-01-01 10:01:24.170,84.17,AR
UnsavedReplay-2019.01.17-20.50.58.replay,Not Oats,HaZe_Plane2770,8,0,1970-01-01 10:01:25.010,85.01,GRENADE
UnsavedReplay-2019.01.17-20.50.58.replay,Little VVang,TheJist,3,0,1970-01-01 10:01:27.990,87.99,SHOTGUN
UnsavedReplay-2019.01.17-20.50.58.replay,tboyd1995,LongShot-,3,0,1970-01-01 10:01:28.371,88.371,SHOTGUN
UnsavedReplay-2019.01.17-20.50.58.replay,Underworldruler4,JustAnotherAusie,2,0,1970-01-01 10:01:28.665,88.665,PISTOL
UnsavedReplay-2019.01.17-20.50.58.replay,XxMutantNinjaxX,Archivexo,6,0,1970-01-01 10:01:28.965,88.965,SNIPER
UnsavedReplay-2019.01.17-20.50.58.replay,GS.jr Rawz,ʞɐɹʌɐɔuǝʞ,2,0,1970-01-01 10:01:32.997,92.997,PISTOL
UnsavedReplay-2019.01.17-20.50.58.replay,TTV_Ripley,SPC TripleC,4,0,1970-01-01 10:01:34.858,94.858,AR
UnsavedReplay-2019.01.17-20.50.58.replay,XplosiveNinja9,ElHitMan44.4,3,0,1970-01-01 10:01:57.454,117.454,SHOTGUN
UnsavedReplay-2019.01.17-20.50.58.replay,K4destroy,kieren .,3,0,1970-01-01 10:01:59.263,119.263,SHOTGUN
UnsavedReplay-2019.01.17-20.50.58.replay,HaZe_Plane2770,Jack Evans YT,4,0,1970-01-01 10:01:59.584,119.584,AR
UnsavedReplay-2019.01.17-20.50.58.replay,ProGamerKenji,braydenrut474,3,0,1970-01-01 10:02:00.352,120.352,SHOTGUN
UnsavedReplay-2019.01.17-20.50.58.replay,ImitableDrop658,TTVhavoc,4,0,1970-01-01 10:02:03.999,123.999,AR
UnsavedReplay-2019.01.17-20.50.58.replay,JustAnotherAusie,LithiumTHC,3,0,1970-01-01 10:02:08.748,128.748,SHOTGUN
UnsavedReplay-2019.01.17-20.50.58.replay,Chef_CHAFS,Chef_CHAFS,1,0,1970-01-01 10:02:14.048,134.048,FALL
