file,player_name,platform,retrieved_date,kd_rate,kills,matches_played,score,top_10,top_12s,top_25s,top_3s,top_5s,top_6s,win_pct,wins
UnsavedReplay-2019.01.17-20.50.58.replay,MitchGames247,pc,2019-01-19 01:09:27,1.23,412,346,51838,31,10,61,7,3,12,3,11
UnsavedReplay-2019.01.17-20.50.58.replay,MitchGames247,psn,2019-01-19 01:09:30,2.78,17521,7172,1699082,691,448,1138,701,307,981,12,862
UnsavedReplay-2019.01.17-20.50.58.replay,BRUDAHZ_02,pc,2019-01-19 01:09:44,0.31,254,829,88687,38,17,129,12,4,15,1,7
UnsavedReplay-2019.01.17-20.50.58.replay,ProGamerKenji,pc,2019-01-19 01:09:52,0.28,19,67,8137,4,4,10,1,1,3,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,ProGamerKenji,psn,2019-01-19 01:09:55,1.27,5313,4324,673228,241,355,545,105,185,210,3,132
UnsavedReplay-2019.01.17-20.50.58.replay,SirCapti,pc,2019-01-19 01:10:00,2.12,11646,5695,866425,223,516,504,124,263,197,3,194
UnsavedReplay-2019.01.17-20.50.58.replay,SirCapti,psn,2019-01-19 01:10:03,0.86,94,109,11770,6,3,15,0,0,0,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,Underworldruler4,pc,2019-01-19 01:10:09,0.62,3925,6337,810399,81,455,305,133,175,346,1,38
UnsavedReplay-2019.01.17-20.50.58.replay,kieren .,pc,2019-01-19 01:10:25,3.53,25499,8612,2441999,1014,1513,1556,626,985,849,16,1385
UnsavedReplay-2019.01.17-20.50.58.replay,LongShot-,pc,2019-01-19 01:10:33,2.27,7058,3207,526719,291,247,602,40,110,77,3,97
UnsavedReplay-2019.01.17-20.50.58.replay,LongShot-,xbl,2019-01-19 01:10:39,0.5,4,8,800,0,0,1,0,0,0,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,Blue_diamond735,pc,2019-01-19 01:10:49,0.3,1608,5461,643058,65,341,264,100,104,283,0,23
UnsavedReplay-2019.01.17-20.50.58.replay,jambbii,pc,2019-01-19 01:10:57,0.54,2115,3982,590715,461,62,985,79,24,168,1,40
UnsavedReplay-2019.01.17-20.50.58.replay,tarixgamer8274,pc,2019-01-19 01:11:05,0.91,739,818,86724,21,30,82,3,9,10,1,4
UnsavedReplay-2019.01.17-20.50.58.replay,LithiumTHC,pc,2019-01-19 01:11:13,0.79,3263,4168,564018,147,259,353,106,94,218,1,51
UnsavedReplay-2019.01.17-20.50.58.replay,LithiumTHC,psn,2019-01-19 01:11:16,0.29,344,1197,132293,5,62,25,22,17,63,1,9
UnsavedReplay-2019.01.17-20.50.58.replay,TTV.ChrispyyOCE,pc,2019-01-19 01:11:22,2.09,10730,5418,1010123,176,527,392,313,255,542,5,285
UnsavedReplay-2019.01.17-20.50.58.replay,TTV.ChrispyyOCE,xbl,2019-01-19 01:11:28,1.9,1290,721,140515,15,60,41,51,26,86,6,43
UnsavedReplay-2019.01.17-20.50.58.replay,尺ﾉ刀ズひ丂ひ,pc,2019-01-19 01:11:31,0.65,2075,3207,375454,61,244,227,24,69,63,1,19
UnsavedReplay-2019.01.17-20.50.58.replay,尺ﾉ刀ズひ丂ひ,psn,2019-01-19 01:11:33,0.67,2,3,210,0,0,0,0,0,0,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,K4destroy,pc,2019-01-19 01:11:39,0.44,2193,5000,493695,34,263,127,48,83,152,1,25
UnsavedReplay-2019.01.17-20.50.58.replay,K4destroy,psn,2019-01-19 01:11:42,0.67,14,21,1769,0,0,3,0,0,0,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,K4destroy,xbl,2019-01-19 01:11:45,0.63,105,172,20787,2,8,4,4,4,8,2,4
UnsavedReplay-2019.01.17-20.50.58.replay,solemio266,pc,2019-01-19 01:11:55,1.0,7,7,752,1,0,1,0,0,0,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,solemio266,psn,2019-01-19 01:11:58,1.33,10073,7769,1208874,456,546,1051,185,218,377,3,194
UnsavedReplay-2019.01.17-20.50.58.replay,Jackattack2604,pc,2019-01-19 01:12:04,0.44,116,261,31590,13,6,46,1,1,4,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,TTV.P0tayt01234,pc,2019-01-19 01:12:12,1.62,2025,1275,165064,46,83,125,10,39,24,2,24
UnsavedReplay-2019.01.17-20.50.58.replay,TTV.P0tayt01234,psn,2019-01-19 01:12:15,0.99,2860,2956,416638,90,190,212,72,71,155,2,53
UnsavedReplay-2019.01.17-20.50.58.replay,Problematic_-,pc,2019-01-19 01:12:21,0.27,274,1009,116012,36,45,115,19,8,38,0,3
UnsavedReplay-2019.01.17-20.50.58.replay,Problematic_-,psn,2019-01-19 01:12:24,0.5,2,4,455,0,0,0,0,0,0,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,TTV_Ripley,pc,2019-01-19 01:12:29,0.48,2029,4301,461261,28,96,119,92,27,199,1,39
UnsavedReplay-2019.01.17-20.50.58.replay,HyfnBtw,pc,2019-01-19 01:12:38,0.64,1457,2330,321978,62,221,136,58,82,116,2,39
UnsavedReplay-2019.01.17-20.50.58.replay,FNG meat_pies,pc,2019-01-19 01:12:46,0.42,1501,3612,431180,41,156,87,99,62,229,1,32
UnsavedReplay-2019.01.17-20.50.58.replay,KFN Alpha,pc,2019-01-19 01:12:54,0.43,1206,2794,307280,134,69,327,38,19,80,0,11
UnsavedReplay-2019.01.17-20.50.58.replay,KFN Alpha,xbl,2019-01-19 01:12:59,0.15,2,13,1422,2,0,4,0,0,0,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,PeterNT,pc,2019-01-19 01:13:02,0.21,104,503,68485,28,7,79,19,3,49,1,6
UnsavedReplay-2019.01.17-20.50.58.replay,ElKritz,pc,2019-01-19 01:13:10,1.54,1485,997,171956,39,79,86,49,31,84,3,30
UnsavedReplay-2019.01.17-20.50.58.replay,Dragomir02,pc,2019-01-19 01:13:18,1.11,214,192,19974,8,4,25,0,1,0,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,Dragomir02,xbl,2019-01-19 01:13:23,1.21,1935,1617,212729,64,121,190,9,50,21,1,15
UnsavedReplay-2019.01.17-20.50.58.replay,blm_Phantom,pc,2019-01-19 01:13:28,0.32,544,1732,189688,35,59,182,21,14,52,1,9
UnsavedReplay-2019.01.17-20.50.58.replay,Keep The Changeツ,pc,2019-01-19 01:13:36,0.81,212,267,33954,13,22,20,6,6,10,2,4
UnsavedReplay-2019.01.17-20.50.58.replay,Keep The Changeツ,psn,2019-01-19 01:13:39,0.56,3178,5766,713419,100,283,327,130,114,294,1,64
UnsavedReplay-2019.01.17-20.50.58.replay,GliTcH66629,pc,2019-01-19 01:13:44,0.22,580,2693,261690,125,35,396,32,13,58,0,6
UnsavedReplay-2019.01.17-20.50.58.replay,TTVChickenDinner,pc,2019-01-19 01:13:52,0.88,361,427,78854,5,41,11,38,20,68,4,16
UnsavedReplay-2019.01.17-20.50.58.replay,ImitableDrop658,pc,2019-01-19 01:14:00,0.99,206,220,40450,23,11,40,15,8,23,6,12
UnsavedReplay-2019.01.17-20.50.58.replay,GoO-Ku,pc,2019-01-19 01:14:09,0.73,2918,4026,584250,197,470,623,34,152,79,1,30
UnsavedReplay-2019.01.17-20.50.58.replay,Moyes Panmure,pc,2019-01-19 01:14:17,0.52,505,1016,188532,40,38,94,100,12,166,4,42
UnsavedReplay-2019.01.17-20.50.58.replay,Moyes Panmure,psn,2019-01-19 01:14:19,0.0,0,2,492,1,0,2,0,0,0,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,SU7LI3R,pc,2019-01-19 01:14:25,0.9,237,266,40508,4,18,11,15,6,29,2,4
UnsavedReplay-2019.01.17-20.50.58.replay,SU7LI3R,xbl,2019-01-19 01:14:30,0.81,1511,1875,218620,64,74,185,42,23,97,1,19
UnsavedReplay-2019.01.17-20.50.58.replay,Archivexo,pc,2019-01-19 01:14:33,1.8,5261,3030,524872,85,237,223,100,126,188,4,112
UnsavedReplay-2019.01.17-20.50.58.replay,Archivexo,xbl,2019-01-19 01:14:38,0.55,104,189,21510,7,7,23,1,2,6,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,Jack Evans YT,pc,2019-01-19 01:14:42,1.66,8543,5355,953811,197,346,470,302,156,506,4,202
UnsavedReplay-2019.01.17-20.50.58.replay,Jack Evans YT,psn,2019-01-19 01:14:44,0.94,65,69,8090,3,3,4,0,1,2,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,Jack Evans YT,xbl,2019-01-19 01:14:47,1.38,18,13,2250,1,2,4,0,1,0,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,XX2 Odie,pc,2019-01-19 01:14:58,0.94,2917,3144,424580,80,405,269,19,164,38,1,37
UnsavedReplay-2019.01.17-20.50.58.replay,XX2 Odie,xbl,2019-01-19 01:15:03,0.59,431,727,86967,33,8,119,8,3,17,0,2
UnsavedReplay-2019.01.17-20.50.58.replay,Not Wareem,pc,2019-01-19 01:15:06,1.38,7575,5773,1051076,222,316,596,371,152,605,5,281
UnsavedReplay-2019.01.17-20.50.58.replay,TheJist,pc,2019-01-19 01:15:15,2.27,4105,1912,333340,220,98,425,40,55,58,5,100
UnsavedReplay-2019.01.17-20.50.58.replay,Commando-Brando,pc,2019-01-19 01:15:23,0.2,367,1867,194708,17,108,63,32,42,80,0,7
UnsavedReplay-2019.01.17-20.50.58.replay,KFN vladimir,pc,2019-01-19 01:15:31,0.21,89,431,55272,8,38,17,15,15,29,1,3
UnsavedReplay-2019.01.17-20.50.58.replay,madddddddddie,pc,2019-01-19 01:15:39,0.11,7,62,5707,1,2,8,1,2,3,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,Mimic89_,pc,2019-01-19 01:15:47,2.76,8733,3355,646250,315,318,562,92,176,157,6,191
UnsavedReplay-2019.01.17-20.50.58.replay,Mimic89_,psn,2019-01-19 01:15:50,2.19,6507,3247,688068,71,146,149,470,64,702,9,277
UnsavedReplay-2019.01.17-20.50.58.replay,XxMutantNinjaxX,pc,2019-01-19 01:15:56,0.53,1096,2071,229620,64,85,220,24,20,52,0,6
UnsavedReplay-2019.01.17-20.50.58.replay,MARMINGLAR,psn,2019-01-19 01:16:25,0.82,6390,7912,1228842,669,382,1462,172,188,340,2,150
UnsavedReplay-2019.01.17-20.50.58.replay,keyaes,pc,2019-01-19 01:16:32,2.02,3805,1957,299211,139,165,287,70,80,151,4,72
UnsavedReplay-2019.01.17-20.50.58.replay,keyaes,psn,2019-01-19 01:16:35,0.82,246,305,32489,8,11,12,15,3,30,2,5
UnsavedReplay-2019.01.17-20.50.58.replay,FTS_Envii,pc,2019-01-19 01:16:49,1.02,1068,1074,170006,32,94,64,44,47,80,3,29
UnsavedReplay-2019.01.17-20.50.58.replay,FTS_Envii,psn,2019-01-19 01:16:51,1.24,84,70,11924,2,10,7,0,6,2,3,2
UnsavedReplay-2019.01.17-20.50.58.replay,cookiecrusher951,pc,2019-01-19 01:16:59,0.85,11,13,1707,1,0,1,0,0,1,0,0
UnsavedReplay-2019.01.17-20.50.58.replay,cookiecrusher951,psn,2019-01-19 01:17:01,0.92,6638,7292,920690,331,250,845,86,76,200,1,80
UnsavedReplay-2019.01.17-20.50.58.replay,I Fked Ya Mum,pc,2019-01-19 01:17:16,0.69,2188,3203,379174,88,167,217,53,59,118,1,32
UnsavedReplay-2019.01.17-20.50.58.replay,GS.jr Rawz,pc,2019-01-19 01:17:23,0.72,3203,4513,537392,87,180,311,71,64,142,1,45
UnsavedReplay-2019.01.17-20.50.58.replay,GÄNDŸ,pc,2019-01-19 01:17:32,0.83,3925,4769,567598,174,239,503,40,78,99,1,29
UnsavedReplay-2019.01.17-20.50.58.replay,DjTalica,pc,2019-01-19 01:17:41,2.17,5603,2785,595745,171,278,349,192,167,306,7,198
UnsavedReplay-2019.01.17-20.50.58.replay,DaPickle208,pc,2019-01-19 01:17:50,0.41,54,134,15368,2,10,4,2,2,5,1,1
UnsavedReplay-2019.01.17-20.50.58.replay,DaPickle208,psn,2019-01-19 01:17:52,0.54,144,267,37021,27,1,80,1,0,1,0,1
UnsavedReplay-2019.01.17-20.50.58.replay,Chef_CHAFS,pc,2019-01-19 01:17:58,0.24,410,1751,217391,133,33,247,43,12,104,1,22
UnsavedReplay-2019.01.17-20.50.58.replay,TheRealOne315,pc,2019-01-19 01:18:06,0.42,87,211,30776,12,8,22,11,4,27,1,2
UnsavedReplay-2019.01.17-20.50.58.replay,Mystツ x,pc,2019-01-19 01:18:14,1.21,2133,1782,238390,51,160,155,33,59,55,1,23
UnsavedReplay-2019.01.17-20.50.58.replay,TSB_Howl,pc,2019-01-19 01:18:30,0.56,1635,2940,326196,124,71,401,15,19,35,0,10
UnsavedReplay-2019.01.17-20.50.58.replay,DrJayPepper YT,pc,2019-01-19 01:18:39,0.62,423,694,90011,29,20,68,23,6,45,1,8
UnsavedReplay-2019.01.17-20.50.58.replay,Serts7236,pc,2019-01-19 01:18:47,0.86,2448,2897,497321,288,258,563,84,106,167,1,34
